object_id,galaxy_class,bar_class,edge_on_class,image_local_path
-513391214271449859,E,No Bar,Not Edge-On,./Galaxy_cutouts/102045464_NEG513391214271449859_gz_arcsinh_vis_y.jpg
2646745997671928560,E,No Bar,Not Edge-On,./Galaxy_cutouts/102159771_2646745997671928560_gz_arcsinh_vis_y.jpg
2689795228639834973,E,No Bar,Not Edge-On,./Galaxy_cutouts/102157955_2689795228639834973_gz_arcsinh_vis_y.jpg
2669106414674106567,E,No Bar,Not Edge-On,./Galaxy_cutouts/102160057_2669106414674106567_gz_arcsinh_vis_y.jpg
2696392627642107203,E,No Bar,Not Edge-On,./Galaxy_cutouts/102157956_2696392627642107203_gz_arcsinh_vis_y.jpg
-515026719291406077,E,No Bar,Not Edge-On,./Galaxy_cutouts/102042913_NEG515026719291406077_gz_arcsinh_vis_y.jpg
-634930267469027017,E,No Bar,Not Edge-On,./Galaxy_cutouts/102022480_NEG634930267469027017_gz_arcsinh_vis_y.jpg
-544305236290382072,E,Bar,Not Edge-On,./Galaxy_cutouts/102042918_NEG544305236290382072_gz_arcsinh_vis_y.jpg
-625978715475132133,E,No Bar,Edge-On,./Galaxy_cutouts/102021986_NEG625978715475132133_gz_arcsinh_vis_y.jpg
-627316633492764481,E,No Bar,Not Edge-On,./Galaxy_cutouts/102020063_NEG627316633492764481_gz_arcsinh_vis_y.jpg
-604705258467194367,E,No Bar,Not Edge-On,./Galaxy_cutouts/102022973_NEG604705258467194367_gz_arcsinh_vis_y.jpg
-646218086473314938,E,No Bar,Not Edge-On,./Galaxy_cutouts/102021989_NEG646218086473314938_gz_arcsinh_vis_y.jpg
-590373838468533916,E,No Bar,Not Edge-On,./Galaxy_cutouts/102022474_NEG590373838468533916_gz_arcsinh_vis_y.jpg
2624334455659229306,E,No Bar,Not Edge-On,./Galaxy_cutouts/102159186_2624334455659229306_gz_arcsinh_vis_y.jpg
2670842177671571298,E,No Bar,Not Edge-On,./Galaxy_cutouts/102159773_2670842177671571298_gz_arcsinh_vis_y.jpg
2678157521655466207,E,No Bar,Edge-On,./Galaxy_cutouts/102158889_2678157521655466207_gz_arcsinh_vis_y.jpg
-555093414488516092,E,No Bar,Not Edge-On,./Galaxy_cutouts/102020528_NEG555093414488516092_gz_arcsinh_vis_y.jpg
2704235491652059707,E,No Bar,Not Edge-On,./Galaxy_cutouts/102158586_2704235491652059707_gz_arcsinh_vis_y.jpg
-629481386498400598,E,No Bar,Not Edge-On,./Galaxy_cutouts/102019595_NEG629481386498400598_gz_arcsinh_vis_y.jpg
2711870242637314833,E,No Bar,Not Edge-On,./Galaxy_cutouts/102157634_2711870242637314833_gz_arcsinh_vis_y.jpg
-614368755496084914,E,No Bar,Not Edge-On,./Galaxy_cutouts/102020062_NEG614368755496084914_gz_arcsinh_vis_y.jpg
2686453414658723868,E,No Bar,Not Edge-On,./Galaxy_cutouts/102159191_2686453414658723868_gz_arcsinh_vis_y.jpg
-522140577289033145,E,No Bar,Not Edge-On,./Galaxy_cutouts/102042914_NEG522140577289033145_gz_arcsinh_vis_y.jpg
-601844424506635454,E,No Bar,Not Edge-On,./Galaxy_cutouts/102019127_NEG601844424506635454_gz_arcsinh_vis_y.jpg
2715924446682105536,E,No Bar,Not Edge-On,./Galaxy_cutouts/102160338_2715924446682105536_gz_arcsinh_vis_y.jpg
