alcohol,malic_acid,ash,alcalinity_of_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,od280/od315_of_diluted_wines,proline,target,flavanoids_dup,dihydrogena_monoxid
14.23,2.5014988205000814,2.43,15.6,127.0,2.8,3.06,0.28,2.29,5.64,1.04,3.92,1065.0,0,3.0435291955414696,0.026905771850196304
13.2,2.5971731213035985,2.14,11.2,100.0,2.65,2.76,0.26,1.28,4.38,1.05,3.4,1050.0,0,2.7729970051305615,0.06686990537213719
13.16,3.5445653728262414,2.67,18.6,101.0,2.8,3.24,0.3,2.81,5.68,1.03,3.17,1185.0,2,3.254848117681633,-0.007725283962495024
14.37,2.845037952349461,2.5,16.8,113.0,3.85,3.49,0.24,2.18,7.8,0.86,3.45,1480.0,1,3.5008506871640135,-0.03479713058353515
13.24,4.009794312574905,2.87,21.0,118.0,2.8,2.69,0.39,1.82,4.32,1.04,2.93,735.0,1,2.676704996978232,-0.011192940844024977
14.2,2.5694702054155942,2.45,15.2,112.0,3.27,3.39,0.34,1.97,6.75,1.05,2.85,1450.0,0,3.3946379270774045,0.01212483956356108
14.39,2.7255792249640667,2.45,14.6,96.0,2.5,2.52,0.3,1.98,5.25,1.02,3.58,1290.0,2,2.522331052677569,0.008828667922685551
14.06,3.167095790050257,2.61,17.6,121.0,2.6,2.51,0.31,1.25,5.05,1.06,3.58,1295.0,0,2.5143687800831387,-0.054219403611668326
14.83,2.409348956230717,2.17,14.0,97.0,2.8,2.98,0.29,1.98,5.2,1.08,2.85,1045.0,0,2.997408684064545,0.004524489081393711
13.86,2.062379864081826,2.27,16.0,98.0,2.98,3.15,0.22,1.85,7.22,1.01,3.55,1045.0,0,3.1544668071164943,0.011411416506945257
14.1,3.184123145866185,2.3,18.0,105.0,2.95,3.32,0.22,2.38,,1.25,3.17,1510.0,0,3.333562774177003,0.12587370187669603
14.12,2.2112670646231902,2.32,16.8,95.0,2.2,2.43,0.26,1.57,,1.17,2.82,1280.0,0,2.431350038809687,0.09384223056408351
13.75,2.5284688983286534,2.41,16.0,89.0,2.6,2.76,0.29,1.81,5.6,1.15,2.9,1320.0,0,2.765775788447767,-0.042662167527941004
14.75,2.5284688983286534,2.39,11.4,91.0,3.1,3.69,0.43,2.81,5.4,1.25,2.73,8546.186856921227,0,3.7026113545425554,-0.014369168077458805
,2.7255792249640667,2.38,12.0,102.0,3.3,3.64,0.29,2.96,7.5,1.2,3.0,1547.0,2,3.6108901450782835,-0.07317210009185016
13.63,2.639288526707599,2.7,17.2,112.0,2.85,2.91,0.3,1.46,7.3,1.28,2.88,1310.0,0,2.903613872583832,-0.029535350698174326
,2.7996393816587317,2.72,20.0,120.0,2.8,3.14,0.33,1.97,6.2,1.07,2.65,1280.0,1,3.1306032837813036,0.015780250179517025
13.83,2.320593695794572,2.62,20.0,115.0,2.95,3.4,0.4,1.72,6.6,1.13,2.57,1130.0,0,3.3872370262523437,0.06029268104441168
14.19,2.3456133328502315,2.48,16.5,108.0,3.3,3.93,0.32,1.86,8.7,1.23,2.82,1680.0,0,3.9245034354549424,-0.03645419188718043
13.64,5.270885586532432,2.56,15.2,116.0,2.7,3.03,0.17,1.66,5.1,0.96,3.36,845.0,0,3.0598647022463417,-0.03270732200338983
14.06,2.396464767999575,2.28,16.0,126.0,3.0,3.17,0.24,2.1,5.65,1.09,3.71,780.0,0,3.1527031414066378,-0.10736445148693274
12.93,7.671663778002759,2.65,18.6,102.0,2.41,2.41,0.25,1.98,4.5,1.03,3.52,770.0,0,2.4293434648799526,-0.008133296027245383
13.71,2.711003969817852,2.36,16.6,101.0,2.61,2.88,0.27,1.69,3.8,1.11,4.0,1035.0,0,2.8463810182573814,-0.053120720592978156
12.85,2.3582241269255166,2.52,17.8,95.0,2.48,2.37,0.26,1.46,3.93,1.09,3.63,1015.0,0,2.363309943586331,-0.02647197136830369
13.5,2.639288526707599,2.61,20.0,96.0,2.53,2.61,0.28,1.66,3.52,1.12,3.82,845.0,1,2.613251346251865,-0.043843038908379414
13.05,3.0017507760337434,3.22,25.0,124.0,2.63,2.68,0.47,1.92,3.58,1.13,3.2,830.0,0,2.691711065340582,-0.00471312771262785
13.39,2.5832845281725776,2.62,16.1,93.0,2.85,2.94,0.34,1.45,4.8,0.92,3.22,1195.0,0,2.95420829692482,-0.08788641956783157
13.3,2.5149477065816432,2.14,17.0,94.0,2.4,2.19,0.27,1.35,,1.02,2.77,1285.0,0,2.2058488355222723,-0.07335226226954954
13.87,2.769776846246419,2.8,19.4,107.0,2.95,2.97,0.37,1.76,4.5,1.25,3.4,915.0,0,2.96303345865803,0.10646235560141491
14.02,2.4615821399716316,2.21,16.0,96.0,2.65,2.33,0.26,1.98,4.7,1.04,3.59,1035.0,0,2.320763517927277,-0.06437112906370156
13.73,2.23510798924962,2.7,22.5,101.0,3.0,3.25,0.29,2.38,5.7,1.19,2.71,1285.0,0,3.2671399332105757,-0.054839278922731986
13.58,2.435325514098028,2.36,19.1,106.0,2.86,3.19,0.22,1.95,6.9,1.09,2.88,1515.0,0,3.186178280272214,0.09184567641606571
13.68,2.6677441935238364,2.36,17.2,104.0,2.42,2.69,0.42,1.97,3.84,1.23,2.87,990.0,0,2.6645153927315315,0.14525335846202034
13.76,2.271352195812839,2.7,19.5,132.0,2.95,2.74,0.5,1.35,5.4,1.25,3.0,1235.0,0,2.7173601244734793,-0.05857833144126709
,2.6251747180430405,2.65,19.0,110.0,2.35,2.53,0.29,1.54,4.2,1.1,2.87,1095.0,0,2.5116319419733717,-0.01841244783940153
13.48,2.639288526707599,2.41,20.5,100.0,2.7,2.98,0.26,1.86,5.1,1.04,3.47,920.0,0,2.9899318665409518,0.01707777754702548
13.28,2.409348956230717,2.84,15.5,110.0,2.6,2.68,0.34,1.36,4.6,1.09,2.78,880.0,0,2.6828452636688804,0.08643488222027962
13.05,2.422302414124652,2.55,18.0,98.0,2.45,2.43,0.29,1.44,4.25,1.12,2.51,1105.0,0,2.443793945855752,-0.049342853921411876
13.07,2.23510798924962,2.1,15.5,98.0,2.4,2.64,0.28,1.37,3.7,1.18,2.69,1020.0,0,2.6314646996702056,-0.012263892297105488
14.22,8.494426033849365,2.51,13.2,128.0,3.0,3.04,0.2,2.08,5.1,0.89,3.53,760.0,0,3.0431671749470377,0.0388668788030872
13.56,2.5014988205000814,2.31,16.2,117.0,3.15,3.29,0.34,2.34,6.13,0.95,3.38,795.0,0,3.302497527965549,0.021738303723330934
13.41,7.837980667334486,2.12,18.8,90.0,2.45,2.68,0.27,1.48,4.28,0.91,3.0,1035.0,0,2.6738201304424103,-0.018807803561504965
13.88,2.754965240749004,2.59,15.0,101.0,3.25,3.56,0.17,1.7,5.43,0.88,3.56,1095.0,0,3.569125078262698,-0.006691148225802058
13.24,8.44900140424036,2.29,17.5,103.0,2.64,2.63,0.32,1.66,4.36,0.82,3.0,680.0,0,2.616776590498551,-0.0687447904184991
13.05,2.5832845281725776,2.1,17.0,107.0,3.0,3.0,0.28,2.03,5.04,0.88,3.35,885.0,0,2.9927472102445933,-0.011908687198733262
14.21,8.725238815710963,2.44,18.9,111.0,2.85,2.65,0.3,1.25,5.24,0.87,3.33,1080.0,0,2.6423739557835937,-0.013319374500447756
14.38,6.85468922092995,2.28,16.0,102.0,3.25,3.17,0.27,2.19,,1.04,3.44,1065.0,0,3.146110503682316,0.011608494481312799
