,z,gmag,rmag,gMag,rMag,n,e,B_T_r,g-r
128972,0.0224,16.83,16.51,-18.2,-18.48,1.5,0.17,0.12,0.28
227482,0.01004,17.38,16.93,-16.25,-16.51,1.0,0.71,0.15,0.26
230730,0.0204,16.74,16.45,-18.12,-18.35,0.97,0.71,0.22,0.23
217965,0.02428,16.96,16.75,-18.31,-18.47,1.0,0.68,0.26,0.16
215860,0.02972,17.25,17.1,-18.45,-18.58,1.03,0.46,0.0,0.13
204468,0.05378,17.13,16.75,-19.92,-20.28,1.55,0.24,0.16,0.36
204199,0.03899,17.2,16.83,-19.07,-19.43,2.14,0.01,0.64,0.36
112804,0.01874,16.28,15.99,-18.35,-18.61,1.35,0.24,0.14,0.26
69736,0.02728,16.4,16.04,-19.06,-19.39,0.88,0.56,0.14,0.33
43437,0.01709,16.31,15.8,-18.12,-18.57,1.15,0.54,0.3,0.45
127857,0.08247,17.3,16.62,-20.84,-21.4,1.03,0.18,0.11,0.56
48982,0.03451,15.86,15.24,-20.16,-20.73,1.31,0.33,0.13,0.57
207889,0.11606,17.53,16.89,-21.37,-21.88,0.79,0.17,0.02,0.51
181274,0.0751,17.73,16.71,-20.24,-21.11,1.69,0.69,0.26,0.87
52927,0.03187,16.67,15.85,-19.2,-19.96,2.07,0.49,0.33,0.76
144626,0.10435,16.73,15.81,-22.06,-22.76,6.78,0.23,0.96,0.7
85679,0.13121,17.34,16.22,-22.22,-23.05,4.98,0.25,0.84,0.83
222376,0.18636,17.9,16.61,-22.67,-23.49,4.89,0.33,0.59,0.82
18151,0.07208,16.52,15.57,-21.38,-22.16,5.41,0.29,0.9,0.78
227893,0.08905,16.91,15.9,-21.67,-22.44,5.04,0.13,0.73,0.77
